A0A0B4JD44	GO:0034976
Q8MQJ7	GO:0000045,GO:0006914,GO:0008088,GO:0034599,GO:0009267,GO:0061723,GO:0060729,GO:0035096,GO:0035069,GO:0016236,GO:0050804,GO:0014067,GO:0032007,GO:0045476,GO:0010508,GO:0045819,GO:0045850,GO:0046777,GO:0006468,GO:0010506,GO:0001558,GO:2000331,GO:0006979,GO:0050808,GO:0051124
Q961G6	
Q9I7K6	GO:0034080,GO:0006335
Q9V3M2	
Q9VC43	
Q9VCW3	GO:0006406,GO:0031081,GO:0006606
Q9VCY7	GO:0000915,GO:0030497,GO:0034625,GO:0034626,GO:0019367,GO:0007112,GO:0007110,GO:0007111,GO:0000212,GO:0042811,GO:0030148,GO:0051225,GO:0042761
Q9VCZ7	
Q9VD82	GO:0006468
Q9VH69	GO:0002181
Q9VIF2	
Q9VJ55	GO:0006355
Q9VMA3	GO:0009953,GO:0007143,GO:0008298,GO:0045132,GO:0007319,GO:0017148,GO:0030715,GO:0048477,GO:0007297,GO:0007317,GO:0008582
Q9VNE1	GO:0051349
Q9VQI9	GO:0000915,GO:0042051,GO:0007611,GO:0097150,GO:0007366,GO:0045944,GO:0008361,GO:0051493,GO:0032368,GO:0006355,GO:0007379,GO:0048190
Q9VVN4	GO:0000077,GO:0006281,GO:0016321,GO:0007143,GO:0007444,GO:0007093,GO:0033314,GO:0007131,GO:0007348,GO:0009314,GO:0000723
Q9W5N2	GO:0002181
Q9XZC2	GO:0048854,GO:0048749,GO:0035214,GO:0016319,GO:0008056,GO:0010628,GO:0045944,GO:0006357,GO:0006351
A1Z6E8	GO:0006338
O77430	GO:0051298,GO:0030261,GO:0042023,GO:0000278,GO:0043066,GO:0090090,GO:0046627,GO:0046329,GO:0045886,GO:0016322,GO:0045931,GO:0032436,GO:0016567,GO:0031647,GO:0006511
P11929	GO:0034994,GO:0007275
P54366	GO:0007275,GO:0045892
Q0KHR4	GO:0016321,GO:0007143,GO:0007131
Q9V472	GO:0048749,GO:0007480,GO:0007479,GO:0045892,GO:0045893,GO:0010468
Q9VBI1	GO:0006261,GO:0032508,GO:0000727,GO:0000278,GO:1900087
Q9VCD5	GO:0006289,GO:0043161
Q9VHM3	GO:0030707,GO:0070374,GO:0006355,GO:0051123
Q9VI55	
Q9VIJ0	
Q9VJ29	GO:0007030,GO:0009306
Q9VJB0	
Q9VJE7	GO:0043666,GO:0009966
Q9VLT7	GO:0002181
Q9VR29	GO:0000398
Q9VVC2	
Q9VXF4	
Q9W4K1	GO:0008340,GO:0006897,GO:0006887,GO:0006726,GO:0006886,GO:0046907,GO:0007040,GO:0060967,GO:0007220,GO:0006727,GO:0010883,GO:0031396
Q9W5G0	
A1Z6G4	
P42570	GO:0006260,GO:0007343,GO:0008156,GO:0007346,GO:0007338
P48609	GO:0008344,GO:0007409,GO:0007049,GO:0051301,GO:0051642,GO:0008340,GO:0007629,GO:0070059,GO:0035011,GO:0008045,GO:0051402,GO:0006468,GO:0008582,GO:0048489
P91654	GO:0007050,GO:0007294,GO:0007488,GO:0000278,GO:2000134,GO:0035308,GO:0048477,GO:0000079,GO:0045859,GO:0045035,GO:0007419
Q24276	GO:0051301,GO:0007059,GO:0035556,GO:0051321,GO:0007275,GO:0070374,GO:0006457,GO:0050821
Q9V9R2	GO:0007281,GO:0007295,GO:0048140,GO:0030514,GO:0016567,GO:0008582,GO:0006511
Q9VI13	GO:0032147,GO:0007411,GO:0007155,GO:0007391,GO:0007395,GO:0035072,GO:0007480,GO:0007254,GO:0045887,GO:0006468,GO:0016601,GO:0050770,GO:0043408,GO:0098696,GO:0043067,GO:0090128,GO:0050803,GO:0019991,GO:0023014,GO:0031098
Q9VIH1	GO:0006284,GO:0006260,GO:0006265,GO:0006268,GO:0000724,GO:0030491,GO:0006298,GO:0006312,GO:0006289,GO:0051096,GO:0007131,GO:2000001,GO:0000722,GO:0007004
A1Z6G6	GO:0016310
Q9W5X9	GO:0071929,GO:0048666,GO:0070507
A1Z6G9	
A1Z6H0	GO:0060857,GO:0035159,GO:0019991
Q8SXP8	GO:0070935,GO:0008344,GO:0007628,GO:0007417,GO:0008345,GO:0040011,GO:0007626,GO:0043524,GO:0033119,GO:0045886,GO:0007528,GO:0007274,GO:1900006,GO:0033143,GO:0070507,GO:0008582,GO:2000331,GO:0007416,GO:0072553
Q9VCR6	GO:0006915,GO:0035329,GO:0007444,GO:0072002,GO:0008285,GO:0040015,GO:0046621,GO:0043065,GO:0045464,GO:0042127,GO:0048814,GO:0045570,GO:0010212,GO:0046666,GO:0048863,GO:0072089
W8PHN8	GO:0006915,GO:0035329,GO:0042127
A1Z6H7	GO:0006999,GO:0006606
Q9VQA2	
A1Z6I7	GO:0007066,GO:0007065,GO:0007140,GO:0051754,GO:0007094,GO:0031937,GO:0006468,GO:0007096,GO:0010965,GO:0070193
O76523	GO:0007094
P20439	GO:0008608,GO:0001700,GO:0000086,GO:0048134,GO:0061952,GO:0000278,GO:0007079,GO:0000281,GO:0045787,GO:0008284,GO:0006468,GO:0035561,GO:0000079,GO:0007088,GO:0035186
Q7K0W4	
Q867Z4	GO:0019730,GO:0007411,GO:0016199,GO:0007409,GO:0048813,GO:0008406,GO:0035167,GO:0007526,GO:0045476,GO:0045893,GO:0007464,GO:0045467,GO:0044719,GO:0006355,GO:0006357
Q9U3Z7	GO:0000470,GO:0000398,GO:0060415,GO:0045727,GO:0010608
Q9V406	GO:0007526,GO:0006357
Q9VHZ5	GO:0042823,GO:0008615,GO:0009744,GO:0042816
Q9VKQ9	GO:0051568
Q9VXX8	GO:0002181
Q9W2M8	GO:0032543
Q9W4K2	GO:0015889
A1Z6J2	GO:0008203,GO:0016485,GO:0035103
Q9VHC2	GO:0048149,GO:0007616,GO:0016567
Q9VKF8	
Q9VSU2	GO:0006030,GO:0042593,GO:0007616,GO:0032024,GO:0006508,GO:0007614
Q9W1S7	
A1Z7G6	GO:0007186
A1Z8V2	
H1UUE3	
P10734	GO:0007427,GO:0045892,GO:0000122,GO:0007088,GO:0006355,GO:0035290,GO:0007354
P27398	GO:0007399,GO:0006508,GO:0050896,GO:0007601
P54622	GO:0006264,GO:0000002,GO:0051096
Q03017	GO:0019732,GO:0019730,GO:0006952,GO:0009950,GO:0046843,GO:0030097,GO:0045087,GO:0007399,GO:0048477,GO:0006967,GO:0009620,GO:0008063
Q86P91	GO:0048193,GO:0006886,GO:0007269,GO:0016081,GO:0048278,GO:0006906,GO:0016192
Q8IPY9	GO:0006309,GO:0000737
Q8IRD1	
Q8STG9	GO:0098586,GO:0042335,GO:0007391,GO:0008258,GO:0010507,GO:0010942,GO:0034761,GO:0046598,GO:0006620,GO:0006616
Q9VAC4	GO:0006338,GO:0035041
Q9VHM5	GO:0006355
Q9VIV3	GO:0032447,GO:0034227,GO:0002143,GO:0002098
Q9VLT9	GO:0007391,GO:0042332,GO:0007254,GO:0046330,GO:0046579,GO:2000736
Q9VN89	GO:0051301,GO:0031122,GO:0016358,GO:0007017,GO:0007019,GO:0051013,GO:0000070,GO:0030336,GO:0008582
Q9VPG7	GO:0030036,GO:0031532,GO:0007015,GO:0016477,GO:0000902,GO:0043652,GO:0035011,GO:0030838,GO:0007266
Q9VQ08	GO:0007411,GO:0042685,GO:0048036,GO:0035050,GO:0008406,GO:0016319,GO:0001764,GO:0003151,GO:0022409,GO:2000274,GO:0007432,GO:0008039,GO:0007419
Q9VQE0	GO:0008637,GO:0003374,GO:0048312,GO:0061025,GO:0000266,GO:0043653,GO:0051646,GO:0007005,GO:0000281,GO:0016559,GO:0090141,GO:1903146,GO:0090140,GO:0010821,GO:0030382,GO:0016185,GO:0007370
Q9VQI4	
Q9VRE6	GO:0099590,GO:0098943,GO:0051968,GO:0098970,GO:2000311,GO:0051966,GO:0019226
Q9VTU4	GO:0001732,GO:0006413
Q9VTV7	GO:0042332
Q9VTW3	GO:0006355
Q9VUN0	GO:0003401,GO:0060026,GO:0070983
Q9VX56	GO:0016236
Q9W0F5	
Q9W200	GO:0019722,GO:0051300
Q9W4X8	
P13706	GO:0005975,GO:0006067,GO:0007629,GO:0046168,GO:0006072,GO:0006650,GO:0006116,GO:0055114,GO:0055093,GO:0006641
Q7JQL6	
Q9V447	
Q9VFQ9	GO:0006508
Q9VSL7	GO:0035147,GO:0030154,GO:0016477,GO:0006882,GO:0007417,GO:0008354,GO:0007506,GO:0008406,GO:0035262,GO:0007280,GO:0071578,GO:0006829
A1Z6K7	GO:0001732,GO:0016579,GO:0006413
Q7JVI3	GO:0097202,GO:0002183,GO:0001732,GO:0007030,GO:2001272,GO:0009306,GO:0007291,GO:0006412
Q9VBH7	GO:0030488
A1Z6K9	
O76878	GO:0060271
A1Z6M0	GO:0007480,GO:0008587,GO:0008586,GO:0031936,GO:0042059,GO:0045893,GO:0050821
Q04787	GO:0007420,GO:0048663,GO:0006355
Q9VUM3	GO:0006888,GO:0006890
A1Z6M6	
P02828	GO:0034605,GO:0007098,GO:0009631,GO:0008285,GO:0010529,GO:0006607,GO:0048477,GO:0019094,GO:0043248,GO:0006457,GO:0045187,GO:0009408
Q02361	GO:0009653,GO:0030154,GO:0007275,GO:0006357
Q24388	GO:0008045,GO:0016201
Q7JYV7	
Q7KVR7	GO:0035652,GO:0048749,GO:0006886,GO:0033363
Q9VFQ3	GO:0006355
Q9VWQ6	GO:0006406
A1Z6N5	GO:0032981
A1Z6P8	GO:0032487,GO:0007264
A1ZB62	
G4LU61	GO:0006545,GO:0046654
O96692	GO:0030718,GO:0032486
P00334	GO:0006117,GO:0046164,GO:0006066,GO:0048149,GO:0006067,GO:0006069,GO:0055114
P02516	GO:0061077,GO:0009631,GO:0042026,GO:0009408,GO:0001666
P0CG69	GO:0006914,GO:0035096,GO:0019941,GO:0016567
P13678	GO:0009950,GO:0007030,GO:0035556,GO:0034389,GO:0007616,GO:0008285,GO:0018105,GO:0006468,GO:0045471
