A2AQR4	GO:0003676
P06537	GO:0003682,GO:0001047,GO:0003677,GO:0003700,GO:0003690,GO:0004883,GO:0031072,GO:0042562,GO:0030544,GO:0051879,GO:0004879,GO:0044877,GO:0046983,GO:0046982,GO:0042803,GO:0019901,GO:0001077,GO:0030971,GO:0000978,GO:0001012,GO:0038050,GO:0043565,GO:0005496,GO:1990239,GO:0032183,GO:0003713,GO:0008134,GO:0008270
P22605	GO:0003700,GO:0000981,GO:0008144,GO:0030374,GO:0044877,GO:0003708,GO:0046965,GO:0000977,GO:0043565,GO:0038023,GO:0003707,GO:0008134,GO:0000976,GO:0008270
Q8CGW9	GO:0003700,GO:0046872,GO:0042803,GO:0043565
P06798	GO:0033613,GO:0003677,GO:0001228,GO:0000977
P06876	GO:0003677,GO:0003700,GO:0001077,GO:0000978,GO:0071987
P08046	GO:0003677,GO:0003700,GO:0000981,GO:0003690,GO:0010385,GO:0044729,GO:0035035,GO:1990841,GO:0001077,GO:0000979,GO:0000977,GO:0043565,GO:0000982,GO:0008134,GO:0044212,GO:0000976,GO:0008270
Q61127	GO:0042802,GO:0008134
P08730	GO:0005198
Q9DCV7	GO:0005198
P08775	GO:0001047,GO:0003677,GO:0003899,GO:0046872,GO:1990841,GO:0008022,GO:0031625
P09021	GO:0003677,GO:0003700,GO:0001077,GO:0000980,GO:0000978,GO:0003705
P09022	GO:0042802,GO:0043565
P47242	GO:0001228,GO:0003700,GO:0000977
P09023	GO:0001077,GO:0000980,GO:0003705
P09027	GO:0003700,GO:0000978,GO:0000977
P32443	GO:0001205,GO:0003700,GO:0001077,GO:0000980,GO:0000978,GO:0043565
Q91W50	GO:0003677,GO:0003723
P09084	GO:0003700,GO:0001077,GO:0000978
P32442	GO:0003682,GO:0003700,GO:0071837,GO:0001077,GO:0000978,GO:0043565
P60898	GO:0003899,GO:0003676,GO:0008270
Q9Z2S7	GO:0003700,GO:0043426
Q9D275	GO:0001078,GO:0000978
P09528	GO:0008199,GO:0008198,GO:0004322,GO:0042802,GO:0005506
P29391	GO:0008199,GO:0008198,GO:0042802,GO:0005506
P50220	GO:0001047,GO:0003677,GO:0003700,GO:0019899,GO:0044213,GO:0001161,GO:0042803,GO:0000980,GO:0000978,GO:0001012,GO:0000977,GO:0043565,GO:0017025,GO:0003705,GO:0008134,GO:0044212
P63015	GO:0003680,GO:0003682,GO:0070410,GO:0003677,GO:0001228,GO:0003700,GO:0000981,GO:0001227,GO:0003690,GO:0035035,GO:0071837,GO:0019901,GO:0001077,GO:0000979,GO:0000978,GO:0070412,GO:0043565,GO:0008134,GO:0044212,GO:0031625
Q6ZPI0	GO:0046872,GO:0003713
Q8R4I4	GO:0003677
P42232	GO:0003682,GO:0003677,GO:0003700,GO:0003690,GO:0035259,GO:0046983,GO:0001077,GO:0000978,GO:0043565
P70434	GO:0003677,GO:0000978,GO:0000982
Q61179	GO:0003700,GO:0000978
Q78FW7	GO:0046872,GO:0003676
Q9WV74	GO:0061630
P10078	GO:0003677,GO:0046872
P70255	GO:0003677,GO:0003700,GO:0000981,GO:0003690,GO:0001077,GO:0000987,GO:0000978
P10085	GO:0003682,GO:0031490,GO:0003677,GO:0001228,GO:0003700,GO:0070888,GO:0019899,GO:0035257,GO:1990841,GO:0046982,GO:0001077,GO:0000978,GO:0000977,GO:0043565,GO:0003713,GO:0003705,GO:0008134,GO:0031625
P41136	GO:0003700,GO:0044325,GO:0046983,GO:0001085,GO:0008134
P10166	GO:0003677,GO:0003700,GO:0046983
P10284	GO:0033613,GO:0003677,GO:0001228,GO:0000977
P10518	GO:0042802,GO:0004655,GO:1904854,GO:0008270
P10751	GO:0046872,GO:0000976
Q8BI67	GO:0003677,GO:0046872
P11103	GO:0003682,GO:0001228,GO:0019899,GO:0030331,GO:0042826,GO:0042802,GO:0003950,GO:0051287,GO:1990404,GO:0019901,GO:0047485,GO:0000977,GO:0070412,GO:0046332,GO:0008134,GO:0008270
P27790	GO:0003682,GO:0003696
P11416	GO:0051393,GO:0031490,GO:0003677,GO:0003700,GO:0000981,GO:0008144,GO:0019899,GO:0042826,GO:0048027,GO:0004879,GO:0030374,GO:0035014,GO:0019904,GO:0046982,GO:0051018,GO:0043422,GO:0001972,GO:0003708,GO:0044323,GO:0001012,GO:0000977,GO:0043565,GO:0038023,GO:0005102,GO:0003707,GO:0003713,GO:0003714,GO:0008134,GO:0044212,GO:0000976,GO:0000900,GO:0008270
Q8CBD1	GO:0030331,GO:0035259,GO:0042826,GO:0035257,GO:0042974,GO:0046965,GO:0000978,GO:0005102,GO:0003713,GO:0003714
P12815	GO:0048306,GO:0005509,GO:0042802,GO:0000287,GO:0060090,GO:0046983,GO:0042803,GO:0043495
P70389	GO:0005520
Q921R8	GO:0008324
Q9CQ85	GO:0030943,GO:0008320
Q9D0C1	GO:0046872,GO:0061630,GO:0004842
P13297	GO:0003677,GO:0001228,GO:0001227,GO:0035326,GO:0002039,GO:0000977,GO:0043565,GO:0000982
P29037	GO:0017162,GO:0001047,GO:0003677,GO:0003700,GO:0019899,GO:0000987,GO:0070491,GO:0000979,GO:0016251,GO:0000995,GO:0001016,GO:0000978,GO:0001103,GO:0001093,GO:0008134,GO:0044212
P13405	GO:0097718,GO:0019899,GO:0042802,GO:0061676,GO:0019900,GO:0051219,GO:0000987,GO:0001102,GO:0001012,GO:0008134,GO:0031625
Q00322	GO:0003677,GO:0046982,GO:0042803,GO:0001077,GO:0000978,GO:0043565,GO:0044212
Q08775	GO:0005524,GO:0043425,GO:0003682,GO:0003677,GO:0003700,GO:0000981,GO:0042826,GO:0019904,GO:0001077,GO:0070491,GO:0000978,GO:0008134,GO:0044212
P13864	GO:0003682,GO:0003886,GO:0051718,GO:0003677,GO:0009008,GO:0030331,GO:0042826,GO:0008327,GO:0008168,GO:1990841,GO:0019904,GO:0003723,GO:0008270
P15037	GO:0003677,GO:0003700,GO:0000981,GO:0035259,GO:0019904,GO:0001078,GO:0000978,GO:0000977,GO:0043565
P15066	GO:0003677,GO:0003700,GO:0000981,GO:0003690,GO:0019899,GO:0016922,GO:0001077,GO:0000978,GO:0043565,GO:0003713,GO:0008134,GO:0044212
P15209	GO:0005524,GO:0060175,GO:0048403,GO:0043121,GO:0005030,GO:0042803,GO:0030971,GO:0004714,GO:0004888
Q3UA06	GO:0005524,GO:0042802
P48754	GO:0003682,GO:0003684,GO:0019899,GO:0042802,GO:0003723,GO:0070063,GO:0003713,GO:0044212,GO:0031625,GO:0004842,GO:0008270
P70271	GO:0042805,GO:0051393,GO:0046872,GO:0042803,GO:0019903
P79621	GO:0033613,GO:0005524,GO:0005525,GO:0016301,GO:0044877,GO:0008022,GO:0044212,GO:0016746
P97358	GO:0046872,GO:0001164
Q02067	GO:0043425,GO:0003682,GO:0003700,GO:0003690,GO:0070888,GO:0042803,GO:0001078,GO:0000978,GO:0000977,GO:0043565,GO:0008134
Q60899	GO:0003723
Q62392	
Q7TNK1	GO:0003682,GO:0003700,GO:0001077,GO:0000978
Q8BGJ0	GO:0046872,GO:0016409,GO:0019706
Q8BVL5	GO:0000978
Q8C0J6	
Q9CPV7	GO:0016409,GO:0019706
Q9EP71	
Q9JI90	GO:0050681,GO:0046872,GO:0031624,GO:0019787,GO:0061630
Q9JJR7	GO:0003677,GO:0001227,GO:0046983,GO:0000977,GO:0008134
Q9QXN3	GO:0030331,GO:0035035,GO:0016922,GO:0002020,GO:0019901,GO:0003713,GO:0044389,GO:0008270
Q9WTU0	GO:0051213,GO:0032454,GO:0005506,GO:0035064,GO:0003713,GO:0008270
Q9WVP6	GO:0005524,GO:0046872,GO:0004652,GO:0003723
P49718	GO:0005524,GO:0003688,GO:0004386
P16110	GO:0050785,GO:0042056,GO:0048030,GO:0034988,GO:0019863,GO:0043236,GO:0048029
Q62448	GO:0003729,GO:0008135,GO:0003743
P17208	GO:0003682,GO:0001205,GO:0003677,GO:0003700,GO:0000981,GO:0051020,GO:0001077,GO:0000980,GO:0043565,GO:0003697,GO:0003713,GO:0003714,GO:0003705
P19785	GO:0051117,GO:0008013,GO:0003682,GO:0003677,GO:0019899,GO:0030284,GO:0030331,GO:0034056,GO:0042562,GO:0042802,GO:0004879,GO:0036312,GO:1990841,GO:0044877,GO:0019901,GO:0001077,GO:0000978,GO:0038052,GO:0043565,GO:0005496,GO:0003707,GO:0017025,GO:0001093,GO:0001223,GO:0008134,GO:0031798,GO:0008270
P17433	GO:0001205,GO:0003677,GO:0003700,GO:0000981,GO:0051525,GO:0001077,GO:0001078,GO:0003723,GO:0000980,GO:0000978,GO:0001085,GO:0043565,GO:0003705,GO:0000982
P17679	GO:0070742,GO:0003682,GO:0031490,GO:0003677,GO:0008301,GO:0003700,GO:0000981,GO:0001158,GO:0002039,GO:0001077,GO:0001078,GO:0000980,GO:0000978,GO:0000977,GO:0001085,GO:0043565,GO:0000976,GO:0008270
Q04742	GO:0043565
P17919	GO:0003677,GO:0001228,GO:0019904,GO:0001077,GO:0000978,GO:0000977,GO:0043565
P97334	GO:0043565
S4R1G9	GO:0046872,GO:0003676
P18469	
Q9Z324	GO:0004582,GO:0030234
Q61026	GO:0017162,GO:0003682,GO:0070182,GO:0030331,GO:0035259,GO:0035257,GO:0016922,GO:0030374,GO:0030165,GO:0033142,GO:0044877,GO:0046983,GO:0019904,GO:0042974,GO:0046965,GO:0001162,GO:0000978,GO:0005102,GO:0046966,GO:0030375,GO:0003713,GO:0008134
Q60722	GO:0043425,GO:0003682,GO:0003677,GO:0003700,GO:0000981,GO:0003690,GO:0070888,GO:0042802,GO:0008022,GO:0046982,GO:0042803,GO:0043621,GO:0001077,GO:0000978,GO:0001093,GO:0003714,GO:0001011
Q61286	GO:0043425,GO:0035497,GO:0003677,GO:0003700,GO:0070888,GO:0071837,GO:0046982,GO:0042803,GO:0001077,GO:0000978,GO:0046332,GO:0008134
P20108	GO:0043027,GO:0042802,GO:0019900,GO:0008022,GO:0019901,GO:0008379
P22091	GO:0003682,GO:0003700,GO:0000981,GO:0070888,GO:0019899,GO:0042826,GO:0046982,GO:0000980,GO:0000978,GO:0000977,GO:0001085,GO:0044212,GO:0000976
P22227	GO:0003677,GO:0046872,GO:0001077,GO:0001078,GO:0000980,GO:0000978,GO:0001103,GO:0043565
P27889	GO:0003677,GO:0003700,GO:0044877,GO:0046982,GO:0042803,GO:0000987,GO:0043565,GO:0003705,GO:0044212
Q8C0D7	GO:0046872,GO:0035064,GO:0003713
P23204	GO:0003677,GO:0003700,GO:0000981,GO:0001227,GO:0008144,GO:0005504,GO:0008289,GO:0097371,GO:0051525,GO:0004879,GO:0030374,GO:0019902,GO:0044877,GO:0019904,GO:0046982,GO:0001077,GO:0001078,GO:0000978,GO:0000977,GO:0001103,GO:0043565,GO:0038023,GO:0003707,GO:0001223,GO:0008134,GO:0000976,GO:0031624,GO:0008270
P28700	GO:0004886,GO:0031490,GO:0050692,GO:0003677,GO:0003700,GO:0003690,GO:0019899,GO:0050693,GO:0004879,GO:0016922,GO:0042277,GO:0044877,GO:0019904,GO:0046982,GO:0001972,GO:0042974,GO:0044323,GO:0000977,GO:0043565,GO:0003707,GO:0008134,GO:0042809,GO:0070644,GO:0008270
P23708	GO:0003677,GO:0003700,GO:0001077,GO:0000978,GO:0043565,GO:0001221,GO:0008134
P33242	GO:0003682,GO:0003677,GO:0003700,GO:0003690,GO:0019899,GO:0004879,GO:0005543,GO:0000980,GO:0000977,GO:0043565,GO:0003707,GO:0003705,GO:0000976,GO:0008270
P23772	GO:0003700,GO:0070888,GO:0001158,GO:0071837,GO:0005134,GO:0046983,GO:0001077,GO:0001078,GO:0000987,GO:0000978,GO:0000977,GO:0043565,GO:0003713,GO:0003712,GO:0008134,GO:0044212,GO:0000976,GO:0008270
Q925J9	GO:0003682,GO:0031490,GO:0001047,GO:0003677,GO:0000981,GO:0030331,GO:0050693,GO:0036033,GO:0035257,GO:0016922,GO:0030374,GO:0042975,GO:0044877,GO:0042974,GO:0000979,GO:0000978,GO:0038023,GO:0046966,GO:0030375,GO:0003713,GO:0003712,GO:0008134,GO:0061630,GO:0042809
P61202	GO:0003714
P61216	GO:0003677,GO:0008022,GO:0046982,GO:0003712
Q07916	GO:0003677,GO:0001227,GO:0000977,GO:0043565
Q8BZZ3	GO:0061630,GO:0004842
Q99M28	GO:0003730
P23950	GO:0071889,GO:0017091,GO:0003677,GO:0046872,GO:0035925,GO:0003730,GO:0003729
Q9Z1X9	GO:0043138,GO:0003682,GO:0003688,GO:0003697
Q9CXE0	GO:0046872,GO:0008168,GO:0001078,GO:0070491,GO:0000978,GO:0043565,GO:0044212
P25799	GO:0042805,GO:0003682,GO:0001205,GO:0003677,GO:0003700,GO:0001227,GO:0003690,GO:0031072,GO:0042802,GO:0046982,GO:0042803,GO:0000980,GO:0000977,GO:0043565,GO:0008134,GO:0044212,GO:0000976
Q04863	GO:0003682,GO:0003677,GO:0003700,GO:0042802,GO:0019901,GO:0000980,GO:0000977
Q8C5D8	GO:0050681,GO:0003677,GO:0030331,GO:0035259,GO:0019904,GO:0061665,GO:0019789,GO:0008134,GO:0031625,GO:0008270
Q8CE64	GO:0003677,GO:0008270
Q9WTK5	GO:0001077,GO:0000978
P25976	GO:0003682,GO:0001164,GO:0001165,GO:0097110
Q8K202	GO:0003677,GO:0003899,GO:0001179
P26450	GO:0016303,GO:0046935,GO:0051117,GO:0005516,GO:0043125,GO:0030331,GO:0043559,GO:0005159,GO:0005158,GO:0043560,GO:0005168,GO:0035014,GO:0036312,GO:0051219,GO:0001784,GO:0005161,GO:0008022,GO:0019904,GO:0046982,GO:0019901,GO:0019903,GO:0030971,GO:0005102,GO:0008134,GO:0031625
P27048	GO:0071208,GO:0003723,GO:0070034,GO:1990446,GO:0030620,GO:1990447
P97801	GO:0017134,GO:0042802,GO:0003723
P27577	GO:0003677,GO:0003700,GO:0000981,GO:0035035,GO:0042802,GO:0000978,GO:0043565,GO:1990837,GO:0000982
P27782	GO:0070016,GO:0008013,GO:0070742,GO:0003682,GO:0043027,GO:0003677,GO:0008301,GO:0001228,GO:0003700,GO:0035326,GO:0030284,GO:0030331,GO:0045295,GO:0042393,GO:0042826,GO:0001077,GO:0000978,GO:0000977,GO:0043565,GO:0003705,GO:0008134,GO:0044212
Q9JM05	GO:0003677,GO:0008022,GO:0061665,GO:0019789,GO:0003714,GO:0031625,GO:0008270
P50538	GO:0046983,GO:0001078,GO:0000978
P50540	GO:0003677,GO:0046983
Q80US8	GO:0003677,GO:0046983
Q91VN7	GO:0046983
P28653	GO:0050840,GO:0030021,GO:0005539
Q9R1Z7	GO:0003874,GO:0042802,GO:0046872,GO:0042803
P35396	GO:0003677,GO:0003700,GO:0000981,GO:0001227,GO:0008144,GO:0008047,GO:0005504,GO:0070539,GO:0008289,GO:0051059,GO:0004879,GO:0030374,GO:0016501,GO:0046982,GO:0001078,GO:0046965,GO:0000977,GO:0001103,GO:0038023,GO:0003707,GO:0003713,GO:0008134,GO:0000976,GO:0008270
P37242	GO:0031490,GO:0003700,GO:0000981,GO:0003690,GO:0019899,GO:0030374,GO:0042803,GO:0000977,GO:0038023,GO:0003707,GO:0070324,GO:0004887,GO:0008134,GO:0000976,GO:0008270
Q60644	GO:0034191,GO:0051117,GO:0003677,GO:0003700,GO:0000981,GO:0004879,GO:0030374,GO:0001077,GO:0046965,GO:0000978,GO:0000977,GO:0038023,GO:0003707,GO:0008134,GO:0000976,GO:0008270
Q925B0	GO:0003779,GO:0019899,GO:0043522,GO:0005080,GO:0008157
P97357	GO:0003677
Q6PDZ2	GO:0001164
P63017	GO:0031686,GO:0043531,GO:0016887,GO:0042623,GO:0005524,GO:0055131,GO:0051087,GO:1990833,GO:0019899,GO:0001664,GO:0031072,GO:0051787,GO:0042277,GO:0001786,GO:1904593,GO:0030674,GO:0044183,GO:0003723,GO:0005102,GO:0008134,GO:0031625,GO:0051082
Q8BQC3	
P30051	GO:0003677,GO:0003700,GO:0046982,GO:0000987,GO:0001085,GO:0043565,GO:0001223,GO:0000982,GO:0001134,GO:0044212
Q9EPK5	GO:0042803,GO:0003713,GO:0003714
P31245	GO:0003700,GO:0001078,GO:0000978,GO:0043565
Q6PDQ2	GO:0005524,GO:0003677,GO:0004386,GO:0042826,GO:0046872,GO:0001103,GO:0008134
Q9CPN8	GO:0003730,GO:0048027
Q9D738	GO:0061630
Q9ESG8	GO:0016409,GO:0019706
Q9JKB3	GO:0003677,GO:0001227,GO:0003730,GO:1905538,GO:0000977,GO:0003697
P62869	GO:0044877,GO:0003713,GO:0031625
Q61645	GO:0031490,GO:0042826,GO:0032454,GO:0046872,GO:0016491,GO:0046966,GO:0003714,GO:0000976,GO:0042809
Q9JJ64	
P31315	GO:0001077,GO:0000978,GO:0043565
P31316	GO:0003677,GO:0043565
P32020	GO:0003988,GO:0015485,GO:0017127,GO:0000062,GO:0036042,GO:0070538,GO:0008525,GO:1904121,GO:0008526,GO:0033814,GO:0050632,GO:0046982,GO:0042803,GO:0005102
Q04887	GO:0008013,GO:0043425,GO:0003682,GO:0003677,GO:0001228,GO:0003700,GO:0000981,GO:0035326,GO:0001158,GO:0097157,GO:0046982,GO:0034236,GO:0004672,GO:0001077,GO:0000978,GO:0043565,GO:0003705,GO:0044212,GO:0000976
Q99ME7	GO:0003677,GO:0003700,GO:0001158,GO:0001077,GO:0000978
P34056	GO:0003682,GO:0001228,GO:0003700,GO:0000981,GO:0046983,GO:0001077,GO:0001078,GO:0000987,GO:0000980,GO:0000978,GO:0000977,GO:0043565,GO:0003713,GO:0003714,GO:0000982,GO:0008134,GO:0044212,GO:0000976
Q91ZK0	GO:0000981,GO:0000977
P35545	
P35639	GO:0008140,GO:0003677,GO:0003700,GO:0043522,GO:0046982,GO:0042803,GO:0001077,GO:0000978,GO:0008134,GO:0044212,GO:0000976
P53566	GO:0003677,GO:0001228,GO:0003700,GO:0042826,GO:0071837,GO:0019900,GO:0044877,GO:0019904,GO:0046982,GO:0042803,GO:0001077,GO:0000978,GO:0001013,GO:0043565,GO:0003713,GO:0003705,GO:0008134,GO:0044212
P35922	GO:0003682,GO:0070840,GO:0002151,GO:0042802,GO:0044325,GO:0035064,GO:0008017,GO:0035198,GO:0003730,GO:0048027,GO:0003729,GO:0034046,GO:0008266,GO:0019904,GO:0046982,GO:0042803,GO:0019901,GO:0019903,GO:0043022,GO:0000340,GO:0003723,GO:0035613,GO:0033592,GO:1990825,GO:0035197,GO:0031369,GO:0045182,GO:0030371
P42669	GO:0003677,GO:0003700,GO:0001227,GO:0003690,GO:0003691,GO:0032422,GO:0003723,GO:0000977,GO:0043565,GO:0003697,GO:0046332,GO:0008134,GO:0000900
P37172	GO:0048185,GO:0016361,GO:0005524,GO:0098821,GO:0019838,GO:0046872,GO:0042803,GO:0004672,GO:0004674,GO:0046332,GO:0005024,GO:0050431,GO:0005025
Q9JIQ3	
P40338	GO:0019899,GO:0044877,GO:0008134,GO:0061630
P97481	GO:0050897,GO:0003677,GO:0003700,GO:0000981,GO:0035035,GO:0046982,GO:0001077,GO:0043565,GO:0008134
P40645	GO:0003677,GO:0003700,GO:0046982,GO:0001078,GO:0000978,GO:0043565,GO:0044212
Q8VI67	GO:0017151,GO:0003677,GO:0000981,GO:0046872,GO:0001077,GO:0000978
P41133	GO:0003700,GO:1901707,GO:0046983,GO:0019904,GO:0001085,GO:0008134
P41139	GO:0003700,GO:0046983,GO:0001085,GO:0008134
P41230	GO:0003682,GO:0051213,GO:0003677,GO:0001227,GO:0032452,GO:0032453,GO:0034647,GO:0042802,GO:0035064,GO:0001085,GO:0008270
Q9DB42	GO:0003677,GO:0043023,GO:0008270
Q9QX99	GO:0001077,GO:0000978
P43120	GO:0003682,GO:0008301,GO:0003700,GO:0001227,GO:0008190,GO:0071837,GO:0042803,GO:0001078,GO:0070491,GO:0000978,GO:0000977,GO:0043565,GO:0008134,GO:0044212
P43136	GO:0003700,GO:0001227,GO:0004879,GO:0000980,GO:0043565,GO:0003707,GO:0008270
Q9R164	GO:0003700,GO:0046872,GO:0003676
Q6PCN7	GO:0016887,GO:0005524,GO:0004386,GO:0001077,GO:0000978,GO:0061630,GO:0031625,GO:0008270
P45448	GO:0003682,GO:0003677,GO:0003700,GO:0003690,GO:0004879,GO:0005543,GO:0001077,GO:0000980,GO:0000978,GO:0043565,GO:0003707,GO:0044212,GO:0000976,GO:0008270
Q62227	GO:0003677,GO:0042975,GO:0044877,GO:0019904,GO:0042803,GO:0042974,GO:0046965,GO:0003707,GO:0046966,GO:0003714,GO:0008134
P70700	GO:0003677,GO:0003899,GO:0046872,GO:0032549
Q6P3E7	GO:0019899,GO:0004407,GO:0042826,GO:0032041,GO:0033558
Q8BHZ4	GO:0003677,GO:0046872
P46684	GO:0003700,GO:0000981,GO:0046872,GO:0001077,GO:0000978,GO:0000977
Q62520	GO:0031490,GO:0003677,GO:0003700,GO:0000981,GO:0046872,GO:0001077,GO:0000978,GO:0000977
P48281	GO:1902098,GO:0008434,GO:0003677,GO:0000981,GO:1902121,GO:0038186,GO:0004879,GO:0030374,GO:0046965,GO:0000977,GO:0043565,GO:0038023,GO:0003707,GO:0008134,GO:0000976,GO:0005499,GO:0070644,GO:0008270
P48301	GO:0097718,GO:0003677,GO:0003700,GO:0046982,GO:0001085,GO:0043565,GO:0001223,GO:0003705,GO:0001134,GO:0044212
P48379	GO:0001228,GO:0003700,GO:0000978,GO:0000977
Q61660	GO:0001077,GO:0000978,GO:0000976
Q99MD8	GO:0003677,GO:0046872
P81270	GO:0003682,GO:0000981,GO:0000978
Q9JKN5	GO:0003677,GO:0003700,GO:0046983
P48972	GO:0001077,GO:0000978
P81183	GO:0003700,GO:0046872,GO:0046982,GO:0042803,GO:0044212
P48985	GO:0031490,GO:0003677,GO:0046983,GO:0001077,GO:0000978,GO:0043565
P49070	GO:0050839
Q9D882	
P49710	GO:0003779,GO:0044877,GO:0019901,GO:0001085,GO:0017124
Q8VEE4	GO:0003682,GO:0003684,GO:0098505,GO:0046872,GO:0043565,GO:0003697,GO:0043047
Q9CQ71	GO:0003684,GO:0003697
Q9JK30	GO:0003688
Q9Z0H0	GO:0005524,GO:0016301,GO:0046872,GO:0004672,GO:0004674
Q00288	GO:0003677,GO:0003700,GO:0001077,GO:0000978,GO:0043565,GO:0044212
Q04744	GO:0043565
Q61169	GO:0003682,GO:0003677,GO:0003700,GO:0000981,GO:0003690,GO:0001158,GO:0019901,GO:0001077,GO:0000978,GO:0001103,GO:0043565,GO:0003705,GO:0008134,GO:0044212,GO:0008270
Q91V10	GO:0043565
Q91ZW3	GO:0016887,GO:0005524,GO:0003677,GO:0004386,GO:0042393,GO:0031491
P51450	GO:0003677,GO:0003700,GO:0004879,GO:0008142,GO:0001078,GO:0000978,GO:0043565,GO:0003707,GO:0001223,GO:0098531,GO:0008270
P51942	GO:0005509,GO:0005201
P52633	GO:0003677,GO:0001228,GO:0003700,GO:0042802,GO:0019903,GO:0001077,GO:0001078,GO:0000978,GO:0000977,GO:0043565
Q8C092	GO:0003677,GO:0003700,GO:0042802,GO:0046983,GO:0044212
P55098	GO:0046872
P63166	GO:0019899,GO:0035259,GO:0015459,GO:0030674,GO:0008022,GO:0031386,GO:0044388,GO:0019789,GO:0001222,GO:0008134,GO:0031625
P56389	GO:0004126,GO:0042802,GO:0001882,GO:0042803,GO:0008270
P56873	
P80313	GO:0005524,GO:0042802,GO:0051082
Q7TN02	GO:0003712
P56931	GO:0003700,GO:0000981,GO:0046983,GO:0001077,GO:0001078,GO:0000987,GO:0000977,GO:0043565,GO:0008134
Q8C8R0	
P58774	GO:0051015,GO:0042802,GO:0046982,GO:0042803,GO:0005200
Q8BMZ5	GO:0016829,GO:0003676,GO:0000213
Q640N1	GO:0005516,GO:0004180,GO:0005518,GO:0001227,GO:0004181,GO:0000977,GO:0003714,GO:0008270
Q811S7	GO:0003700,GO:0043565
Q8CCE9	GO:0035497,GO:0003677,GO:0046872,GO:0000977,GO:0016740
Q9D2H6	GO:0003677,GO:0000981,GO:0042826,GO:0046872,GO:0001078,GO:0000978
Q9WTP9	GO:0031490,GO:0001227,GO:0001162
P60122	GO:0043531,GO:0016887,GO:0051117,GO:0005524,GO:0043140,GO:0043141,GO:0004003,GO:0003678,GO:0017025,GO:0001094,GO:0003713
Q9WTM5	GO:0043531,GO:0051117,GO:0005524,GO:0043141,GO:0004003,GO:0008013,GO:0031490,GO:0003678,GO:0042802,GO:0042803,GO:0000979,GO:0000980,GO:0017025,GO:0001094,GO:0003714
P62880	GO:0005246,GO:0003924,GO:0051020,GO:0044877
Q9DCP6	
Q9JLT4	GO:0009055,GO:0050660,GO:0042803,GO:0004791
Q99JX1	GO:0003677,GO:0046982,GO:0047485,GO:0046966,GO:0003713,GO:0008134,GO:0042809
Q8VHS6	
Q923B3	GO:0003682,GO:0003700,GO:0046872,GO:0005166,GO:0043565
Q9CTY1	
Q9CWU2	GO:0015095,GO:0016409,GO:0019706
Q9WTN3	GO:0003682,GO:0003677,GO:0003700,GO:0008047,GO:0004879,GO:0044877,GO:0046983,GO:0019901,GO:0001077,GO:0000978,GO:0000977,GO:0043565,GO:0032810,GO:0000982,GO:0044212
Q9WV72	
P62322	GO:0046982,GO:0003723
Q9CQQ8	GO:0046982,GO:0003723
P62325	GO:0019899
Q60809	GO:0000175,GO:0004532,GO:0046872,GO:0004535,GO:0003723,GO:0003714,GO:0008134
P62340	GO:0003700,GO:0001077,GO:0000979,GO:0001016,GO:0000978,GO:0008134
P62509	GO:0005516,GO:0003677,GO:0001228,GO:0004879,GO:0003708,GO:0000977,GO:0005496,GO:0003707,GO:0008270
Q8BW74	GO:0001228,GO:0001077,GO:0000977,GO:0043565
Q61412	GO:0043565
Q9WUF3	GO:0008656,GO:0042802,GO:0002020,GO:0032184,GO:0003714
P70210	GO:0003677,GO:0003700,GO:0001085,GO:0043565,GO:0044212
Q8CDC7	GO:0003677,GO:0046872
P70281	GO:0003677,GO:0046982
Q62029	GO:0003730,GO:0008143,GO:0008266,GO:0003723
P70318	GO:0017091,GO:0003677
P70340	GO:0070410,GO:0017151,GO:0003700,GO:0042802,GO:0070411,GO:0046872,GO:0070878,GO:0046982,GO:0042803,GO:0019901,GO:0001077,GO:0000978,GO:0043565
Q9R0G7	GO:0001205,GO:0001227,GO:0046872,GO:0070412,GO:0043565
P70436	GO:0001078,GO:0000978,GO:0043565
Q8K439	GO:0003700,GO:0046872,GO:0043565
P70660	GO:0003682,GO:0070888,GO:0042803,GO:1990837
Q01822	GO:0043565
Q8K5B9	GO:0043565
Q91YQ3	GO:0003677,GO:0003730,GO:0003723,GO:0008134
Q921F2	GO:0001205,GO:0003690,GO:0042802,GO:0003730,GO:0003723,GO:1990837,GO:0003727
Q9JL60	GO:0003700,GO:0046872,GO:0001077,GO:0000978,GO:0003713
Q9WUL8	GO:0003713
P84244	GO:0031492,GO:0046982,GO:0000979,GO:0000980
Q62280	GO:0030374
P97302	GO:0001205,GO:0001206,GO:0003677,GO:0003700,GO:0001078,GO:0000980
P97305	GO:0003682,GO:0003677,GO:0001228,GO:0003700,GO:0001227,GO:0001077,GO:0000987,GO:0000978,GO:0043565,GO:0008134
Q8K120	GO:0003682,GO:0003677,GO:0003700,GO:0000981,GO:0001227,GO:0042975,GO:0001078,GO:0000978,GO:0008134
P97346	GO:0047134,GO:0004791
Q9DA19	GO:0042826,GO:0044877,GO:0019901,GO:0003714
P97368	GO:0003682,GO:0001077,GO:0043565
P97454	GO:0017151,GO:0001227,GO:0046872,GO:0000978,GO:0000977,GO:0031625
