A2AQR4	GO:0003676
Q8VDQ8	GO:0003682,GO:0035035,GO:0004407,GO:0042826,GO:0070403,GO:0017136,GO:0046970,GO:0034979,GO:0033558,GO:0008134,GO:0042903,GO:0043130,GO:0008270
Q921X6	GO:0003899,GO:0003690
Q923E4	GO:0043425,GO:0019213,GO:0019899,GO:0042393,GO:0004407,GO:0043398,GO:0042802,GO:1990254,GO:0046872,GO:0051019,GO:0070403,GO:0017136,GO:0046969,GO:0034979,GO:0035257,GO:0002039,GO:0008022,GO:0033558,GO:0019904,GO:0043422,GO:0001077,GO:0000980,GO:0003714,GO:0008134
Q924Z4	GO:0003677,GO:0050291
Q925H1	GO:0003700,GO:0019904,GO:0000977,GO:0008270
Q9D0D5	GO:0046872,GO:0000993,GO:0043565,GO:0001097
Q9WUU6	GO:0004879,GO:0000978,GO:0003707,GO:0008270
Q9Z148	GO:0070742,GO:0018024,GO:0046976,GO:0046974,GO:0002039,GO:1990841,GO:0016279,GO:0000977,GO:0008270
O09105	GO:0003677,GO:0046983
Q61909	GO:0003700,GO:0046872,GO:0042803,GO:0003714
O09106	GO:0033613,GO:0003682,GO:0001046,GO:0019213,GO:0003677,GO:0003700,GO:0070888,GO:0019899,GO:0004407,GO:0042826,GO:0035851,GO:0032041,GO:0051059,GO:0002039,GO:1990841,GO:0044877,GO:0033558,GO:0047485,GO:0070491,GO:0000978,GO:0001103,GO:0001085,GO:0003714,GO:0008134,GO:0044212,GO:0000976
Q60973	GO:0003723
Q921E6	GO:0003682,GO:0042054,GO:0046976,GO:0042802,GO:0000978
O35134	GO:0003682,GO:0003677,GO:0001054,GO:0008270
P03966	GO:0019900,GO:0046983,GO:0001077,GO:0000978
P15806	GO:0043425,GO:0003682,GO:0001205,GO:0003677,GO:0003700,GO:0070888,GO:0031435,GO:0030165,GO:0046982,GO:0042803,GO:0001077,GO:0001078,GO:0070491,GO:0000980,GO:0000978,GO:0043565,GO:0003713,GO:0008134,GO:0070644
P25425	GO:0003682,GO:0003677,GO:0000979,GO:0000978,GO:0043565,GO:0005102,GO:0000983,GO:0000976
P61458	GO:0008124,GO:0042802,GO:0004505,GO:0003713
O35137	GO:0001228,GO:0003700,GO:0071837,GO:0046982,GO:0000977,GO:0043565
O35602	GO:0001077,GO:0000978
O88609	GO:0001228,GO:0003700,GO:0046872,GO:0000977,GO:0000983
O88621	GO:0050681,GO:0043425,GO:0070410,GO:0001205,GO:0003677,GO:0001228,GO:0003700,GO:0019904,GO:0070412,GO:0043565,GO:0046332,GO:0044212
P18111	GO:0001205,GO:0003700,GO:0008327,GO:0000980,GO:0000977,GO:0044212
P23812	GO:0043565
P24610	GO:0003682,GO:0003700,GO:0071837,GO:0043565,GO:0003705
P31310	GO:0003677,GO:0042826,GO:0001077,GO:0000978
P31311	GO:0003677,GO:0043565
P35582	GO:0003677,GO:0001228,GO:0003700,GO:0000981,GO:0003690,GO:0019904,GO:0001077,GO:0043565,GO:0008134,GO:0044212
P40764	GO:0003682,GO:0003677,GO:0001228,GO:0000977,GO:0003727
P43241	GO:0003700,GO:0001227,GO:0003690,GO:0008327,GO:0000980,GO:0000977,GO:0043565,GO:0003714
P43267	GO:0003682,GO:0003677,GO:0000981,GO:0046982,GO:0001077
P48432	GO:0003682,GO:0031490,GO:0003677,GO:0003700,GO:0000981,GO:0035198,GO:0046982,GO:0043565,GO:0008134,GO:0044212,GO:0000976
P62515	GO:0003680,GO:0003700,GO:0003690,GO:0000977,GO:0043565
P63013	GO:0003677,GO:0071837,GO:0001078,GO:0000978,GO:0003713
P70217	GO:0003682,GO:0003677,GO:0001228,GO:0003700,GO:0001158,GO:0001077,GO:0000978,GO:1990837
P70321	GO:0008327,GO:0043565
P70396	GO:0003677,GO:0071837,GO:0001077,GO:0000978,GO:0044212
P70662	GO:0003682,GO:0001158,GO:0019899,GO:0030274,GO:0042803,GO:0043621,GO:0001102,GO:0003712
P80206	GO:0046982,GO:0001077,GO:0000978
Q07424	GO:0003700,GO:0001077,GO:0000978,GO:0000977
Q08624	GO:0033613,GO:0001205,GO:0001228,GO:0071837,GO:0000980,GO:0000977
Q63934	GO:0003682,GO:0001228,GO:0003700,GO:0000981,GO:1990841,GO:0001077,GO:0001078,GO:0000978,GO:0043565,GO:0003713,GO:0003714
Q64317	GO:0003682,GO:0003677,GO:0000981,GO:0000977
Q8K284	GO:0001002,GO:0001003
Q9JKD8	GO:0003677,GO:0003700,GO:0043565,GO:0044212
Q9WUI0	GO:0001205,GO:0042802,GO:0042803,GO:0001077,GO:0000987,GO:0000980,GO:0000978,GO:0001103,GO:0001085
O35160	GO:0003700,GO:0001077,GO:0000978,GO:0001085,GO:0043565
O35185	GO:0043425,GO:0003677,GO:0000981,GO:0001227,GO:0070888,GO:0043426,GO:0019904,GO:0046982,GO:0042803,GO:0001078,GO:0001102,GO:0000980,GO:0000978,GO:0000977,GO:0043565,GO:1990837,GO:0003714,GO:0008134
O35284	GO:0003700,GO:0001077,GO:0000978,GO:0043565
P09450	GO:0003677,GO:0003700,GO:0000981,GO:0003690,GO:0001077,GO:0000978,GO:0000977,GO:0043565,GO:0003713,GO:0008134
O35317	GO:0001205,GO:0000980,GO:0043565
O35437	GO:0050681,GO:0043425,GO:0070888,GO:0042826,GO:0046983,GO:0001077,GO:0001078
O70477	GO:0003677,GO:0001228,GO:0046982,GO:0043565,GO:0003705
P09079	GO:0001205,GO:0003677,GO:0003700,GO:0001077,GO:0000980,GO:0003705
P09092	GO:0001077,GO:0000980,GO:0003705
P09631	GO:0019899,GO:0001077,GO:0000978
P09632	GO:0001227,GO:0043565
P10628	GO:0033613,GO:0001228,GO:0000977
P10629	GO:0001077,GO:0000980,GO:0003705
P28357	GO:0003677,GO:0003700,GO:0001227,GO:0000977
P28359	GO:0003682,GO:0003677,GO:0001228,GO:0003700,GO:0000977
P32043	GO:0001077,GO:0000980,GO:0003705
P97367	GO:0003677,GO:0001077,GO:0000978,GO:0043565,GO:0003712,GO:0008134
Q60954	GO:0003682,GO:0003677,GO:0046982,GO:0001077,GO:0000978,GO:0043565,GO:0003705
Q8BG99	GO:0051015,GO:0003785,GO:0003677,GO:0000981,GO:0000977,GO:0043565
Q8K5B8	GO:0043565
O35426	GO:0031490,GO:0003700,GO:0000981,GO:0001158,GO:0042826,GO:0036312,GO:0002020,GO:0046982,GO:0019901,GO:0000978,GO:0000977,GO:0001085,GO:0043565,GO:0044212,GO:0044389,GO:0031625
P58929	GO:0046872,GO:0000978,GO:0003713
P41778	GO:0003677,GO:0046982,GO:0001077,GO:0000978,GO:0043565,GO:0008134
O35613	GO:0050681,GO:0019899,GO:0042393,GO:0008432,GO:0019894,GO:0002039,GO:0046982,GO:0042803,GO:0030295,GO:0019901,GO:0047485,GO:0032183,GO:0003713,GO:0003714,GO:0008134,GO:0031625
Q9JI44	GO:0001103,GO:0003714
Q9Z125	GO:0035497,GO:0003682,GO:0003700,GO:0001227,GO:0001077,GO:0046332,GO:0044212
O35627	GO:0003677,GO:0001228,GO:0000981,GO:0030374,GO:0000977,GO:0038023,GO:0003707,GO:0004887,GO:0008134,GO:0000976,GO:0008270
P28705	GO:0004886,GO:0000977,GO:0043565,GO:0003707,GO:0008270
O35719	GO:0005524,GO:0008094,GO:0003690,GO:0003697
P97929	GO:0043015,GO:0010484,GO:0010485,GO:0042802,GO:0002020,GO:0008022,GO:0003697
P58462	GO:0003682,GO:0003677,GO:0003700,GO:0046872,GO:0046982,GO:0042803,GO:0043621,GO:0001078,GO:0000978,GO:0003705,GO:0008134,GO:0044212
O35984	GO:0003682,GO:0003700,GO:0000977,GO:0008134
O54714	GO:0019899,GO:0015459,GO:0008022,GO:0047485,GO:0019789,GO:0008270
P70338	GO:0003700,GO:0046872,GO:0001078,GO:0044212
Q08874	GO:0003682,GO:0003677,GO:0003700,GO:0000981,GO:0070888,GO:0046983,GO:0001077,GO:0000978,GO:0043565,GO:0003705
O54790	GO:0003677,GO:0003700,GO:0046982,GO:0001077,GO:0000978,GO:0043565
Q60795	GO:0001205,GO:0003677,GO:0003700,GO:0019904,GO:0046982,GO:0001102,GO:0000980,GO:0043565,GO:0001221,GO:0008134,GO:0000976
O54791	GO:0003700,GO:0001077,GO:0000978,GO:0043565
Q9D071	GO:0019899,GO:0030331,GO:0003713
O54826	GO:0003682,GO:0042393,GO:0046872,GO:0031491
P42225	GO:0031730,GO:0003677,GO:0003700,GO:0003690,GO:0019899,GO:0035035,GO:0042393,GO:0042802,GO:0035257,GO:1990841,GO:0042803,GO:0051721,GO:0070491,GO:0000979,GO:0000978,GO:0043565,GO:0000983,GO:0000982,GO:0005164,GO:0044389
Q91X45	GO:0003677,GO:0046872
O54863	GO:0005524,GO:0000287,GO:0044877,GO:0004674
Q9Z1A1	GO:0042802
O54941	GO:0003677,GO:0008080,GO:0016922,GO:0047485,GO:0003723
O55026	GO:0043262,GO:0016887,GO:0005524,GO:0042802,GO:0017110,GO:0017111
O70439	GO:0019869,GO:0044877,GO:0005484,GO:0000149,GO:0019905
O70306	GO:0046982,GO:0042803,GO:0001078,GO:0000978,GO:0003714,GO:0000976
